lapangan_usaha,kode,is_utama,tahun,indeks_implisit,laju_implisit
3. Angkutan Laut,SUB,False,2025,166.59,2.02
4. Angkutan Sungai Danau dan Penyeberangan,SUB,False,2021,143.0,-1.91
4. Angkutan Sungai Danau dan Penyeberangan,SUB,False,2022,144.51,1.06
4. Angkutan Sungai Danau dan Penyeberangan,SUB,False,2023,151.79,5.04
4. Angkutan Sungai Danau dan Penyeberangan,SUB,False,2024,154.76,1.96
4. Angkutan Sungai Danau dan Penyeberangan,SUB,False,2025,155.72,0.62
5. Angkutan Udara,SUB,False,2021,161.82,-9.28
5. Angkutan Udara,SUB,False,2022,203.07,25.49
5. Angkutan Udara,SUB,False,2023,190.34,-6.27
5. Angkutan Udara,SUB,False,2024,201.51,5.87
5. Angkutan Udara,SUB,False,2025,197.63,-1.93
6. Pergudangan & Jasa Penunjang Angkutan; Pos dan Kurir,SUB,False,2021,159.61,1.79
6. Pergudangan & Jasa Penunjang Angkutan; Pos dan Kurir,SUB,False,2022,169.1,5.94
6. Pergudangan & Jasa Penunjang Angkutan; Pos dan Kurir,SUB,False,2023,186.39,10.23
6. Pergudangan & Jasa Penunjang Angkutan; Pos dan Kurir,SUB,False,2024,186.11,-0.15
6. Pergudangan & Jasa Penunjang Angkutan; Pos dan Kurir,SUB,False,2025,187.34,0.66
I. Penyediaan Akomodasi dan Makan Minum,I,True,2021,134.34,0.19
I. Penyediaan Akomodasi dan Makan Minum,I,True,2022,138.09,2.8
I. Penyediaan Akomodasi dan Makan Minum,I,True,2023,140.22,1.54
I. Penyediaan Akomodasi dan Makan Minum,I,True,2024,142.65,1.74
I. Penyediaan Akomodasi dan Makan Minum,I,True,2025,144.86,1.55
1. Penyediaan Akomodasi,SUB,False,2021,133.22,-2.52
1. Penyediaan Akomodasi,SUB,False,2022,136.77,2.66
1. Penyediaan Akomodasi,SUB,False,2023,139.15,1.74
1. Penyediaan Akomodasi,SUB,False,2024,141.04,1.36
1. Penyediaan Akomodasi,SUB,False,2025,143.07,1.44
2. Penyediaan Makan Minum,SUB,False,2021,135.51,3.14
2. Penyediaan Makan Minum,SUB,False,2022,139.57,3.0
2. Penyediaan Makan Minum,SUB,False,2023,141.61,1.47
2. Penyediaan Makan Minum,SUB,False,2024,144.7,2.18
2. Penyediaan Makan Minum,SUB,False,2025,146.98,1.58
J. Informasi dan Komunikasi,J,True,2021,119.78,-0.38
J. Informasi dan Komunikasi,J,True,2022,120.23,0.38
J. Informasi dan Komunikasi,J,True,2023,121.18,0.79
J. Informasi dan Komunikasi,J,True,2024,121.96,0.64
J. Informasi dan Komunikasi,J,True,2025,121.6,-0.29
K. Jasa Keuangan dan Asuransi,K,True,2021,148.8,2.12
K. Jasa Keuangan dan Asuransi,K,True,2022,157.03,5.53
